date,cloudcover,day_of_week,label
1993-02-12,99.4,Friday,Weekday
1993-02-13,99.9,Saturday,Weekend
1993-02-14,51.4,Sunday,Weekend
1993-02-15,42.8,Monday,Weekday
1993-02-16,100.0,Tuesday,Weekday
1993-02-17,61.8,Wednesday,Weekday
1993-02-18,59.4,Thursday,Weekday
1993-02-19,4.5,Friday,Weekday
1993-02-20,48.8,Saturday,Weekend
1993-02-21,79.3,Sunday,Weekend
1993-02-22,92.5,Monday,Weekday
1993-02-23,26.7,Tuesday,Weekday
1993-02-24,52.6,Wednesday,Weekday
1993-02-25,7.3,Thursday,Weekday
1993-02-26,83.1,Friday,Weekday
1993-02-27,63.1,Saturday,Weekend
1993-02-28,79.3,Sunday,Weekend
1993-03-01,54.0,Monday,Weekday
1993-03-02,32.0,Tuesday,Weekday
1993-03-03,96.0,Wednesday,Weekday
1993-03-04,100.0,Thursday,Weekday
1993-03-05,100.0,Friday,Weekday
1993-03-06,96.6,Saturday,Weekend
1993-03-07,42.7,Sunday,Weekend
1993-03-08,91.9,Monday,Weekday
1993-03-09,49.5,Tuesday,Weekday
1993-03-10,68.9,Wednesday,Weekday
1993-03-11,48.6,Thursday,Weekday
1993-03-12,51.7,Friday,Weekday
1993-03-13,100.0,Saturday,Weekend
1993-03-14,90.3,Sunday,Weekend
1993-03-15,5.9,Monday,Weekday
1993-03-16,73.6,Tuesday,Weekday
1993-03-17,99.5,Wednesday,Weekday
1993-03-18,36.9,Thursday,Weekday
1993-03-19,11.9,Friday,Weekday
1993-03-20,92.9,Saturday,Weekend
1993-03-21,82.3,Sunday,Weekend
1993-03-22,59.0,Monday,Weekday
1993-03-23,64.5,Tuesday,Weekday
1993-03-24,100.0,Wednesday,Weekday
1993-03-25,100.0,Thursday,Weekday
1993-03-26,33.8,Friday,Weekday
1993-03-27,71.3,Saturday,Weekend
1993-03-28,99.7,Sunday,Weekend
1993-03-29,99.3,Monday,Weekday
1993-03-30,95.8,Tuesday,Weekday
1993-03-31,61.3,Wednesday,Weekday
1993-04-01,100.0,Thursday,Weekday
1993-04-02,100.0,Friday,Weekday
1993-04-03,96.2,Saturday,Weekend
1993-04-04,73.1,Sunday,Weekend
1993-04-05,66.2,Monday,Weekday
1993-04-06,98.5,Tuesday,Weekday
1993-04-07,58.4,Wednesday,Weekday
1993-04-08,52.2,Thursday,Weekday
1993-04-09,96.3,Friday,Weekday
1993-04-10,100.0,Saturday,Weekend
1993-04-11,55.0,Sunday,Weekend
1993-04-12,70.2,Monday,Weekday
1993-04-13,51.9,Tuesday,Weekday
1993-04-14,70.2,Wednesday,Weekday
1993-04-15,99.9,Thursday,Weekday
1993-04-16,99.4,Friday,Weekday
1993-04-17,89.9,Saturday,Weekend
1993-04-18,44.6,Sunday,Weekend
1993-04-19,42.7,Monday,Weekday
1993-04-20,85.2,Tuesday,Weekday
1993-04-21,87.2,Wednesday,Weekday
1993-04-22,100.0,Thursday,Weekday
1993-04-23,87.4,Friday,Weekday
1993-04-24,59.1,Saturday,Weekend
1993-04-25,66.0,Sunday,Weekend
1993-04-26,91.3,Monday,Weekday
1993-04-27,43.2,Tuesday,Weekday
1993-04-28,16.3,Wednesday,Weekday
1993-04-29,28.9,Thursday,Weekday
1993-04-30,80.2,Friday,Weekday
1993-05-01,10.3,Saturday,Weekend
1993-05-02,45.3,Sunday,Weekend
1993-05-03,51.3,Monday,Weekday
1993-05-04,99.9,Tuesday,Weekday
1993-05-05,98.7,Wednesday,Weekday
1993-05-06,49.6,Thursday,Weekday
1993-05-07,34.6,Friday,Weekday
1993-05-08,31.3,Saturday,Weekend
1993-05-09,7.5,Sunday,Weekend
1993-05-10,58.9,Monday,Weekday
1993-05-11,47.4,Tuesday,Weekday
1993-05-12,75.8,Wednesday,Weekday
1993-05-13,88.2,Thursday,Weekday
1993-05-14,45.3,Friday,Weekday
1993-05-15,10.4,Saturday,Weekend
1993-05-16,71.4,Sunday,Weekend
1993-05-17,74.5,Monday,Weekday
1993-05-18,94.1,Tuesday,Weekday
1993-05-19,100.0,Wednesday,Weekday
1993-05-20,97.8,Thursday,Weekday
1993-05-21,46.9,Friday,Weekday
1993-05-22,35.9,Saturday,Weekend
1993-05-23,23.4,Sunday,Weekend
1993-05-24,90.8,Monday,Weekday
1993-05-25,66.2,Tuesday,Weekday
1993-05-26,57.1,Wednesday,Weekday
1993-05-27,46.4,Thursday,Weekday
1993-05-28,78.1,Friday,Weekday
1993-05-29,71.4,Saturday,Weekend
1993-05-30,33.5,Sunday,Weekend
1993-05-31,81.7,Monday,Weekday
1993-06-01,60.5,Tuesday,Weekday
1993-06-02,68.8,Wednesday,Weekday
1993-06-03,75.7,Thursday,Weekday
1993-06-04,85.7,Friday,Weekday
1993-06-05,96.8,Saturday,Weekend
1993-06-06,72.9,Sunday,Weekend
1993-06-07,56.3,Monday,Weekday
1993-06-08,68.7,Tuesday,Weekday
1993-06-09,85.1,Wednesday,Weekday
1993-06-10,71.1,Thursday,Weekday
1993-06-11,40.1,Friday,Weekday
1993-06-12,35.2,Saturday,Weekend
1993-06-13,8.4,Sunday,Weekend
1993-06-14,8.8,Monday,Weekday
1993-06-15,67.5,Tuesday,Weekday
1993-06-16,55.3,Wednesday,Weekday
1993-06-17,34.0,Thursday,Weekday
1993-06-18,14.6,Friday,Weekday
1993-06-19,70.5,Saturday,Weekend
1993-06-20,82.5,Sunday,Weekend
1993-06-21,98.2,Monday,Weekday
1993-06-22,43.5,Tuesday,Weekday
1993-06-23,25.3,Wednesday,Weekday
1993-06-24,35.6,Thursday,Weekday
1993-06-25,3.6,Friday,Weekday
1993-06-26,31.7,Saturday,Weekend
1993-06-27,84.6,Sunday,Weekend
